"Adak","570","99570"
"Akhiok","570","99615"
"Akiak","570","99552"
"Akutan","570","99553"
"Alakanuk","570","99554"
"Aleknagik","570","99555"
"Allakaket","570","99720"
"Ambler","570","99786"
"Anaktuvuk Pass","570","99721"
"Anchorage","570","99501"
"Anderson","570","99744"
"Angoon","570","99820"
"Aniak","570","99557"
"Anvik","570","99558"
"Atka","570","99547"
"Atqasuk","570","99791"
"Barrow","570","99723"
"Bethel","570","99559"
"Bettles","570","99726"
"Brevig Mission","570","99785"
"Buckland","570","99727"
"Chefornak","570","99561"
"Chevak","570","99563"
"Chignik","570","99564"
"Chuathbaluk","570","99557"
"Clark's Point","570","99569"
"Coffman Cove","570","99918"
"Cold Bay","570","99571"
"Cordova","570","99574"
"Craig","570","99921"
"Deering","570","99736"
"Delta Junction","570","99737"
"Dillingham","570","99576"
"Diomede","570","99762"
"Eagle","570","99738"
"Eek","570","99578"
"Egegik","570","99579"
"Ekwok","570","99580"
"Elim","570","99739"
"Emmonak","570","99581"
"Fairbanks","570","99701"
"False Pass","570","99583"
"Fort Yukon","570","99740"
"Galena","570","99741"
"Gambell","570","99742"
"Golovin","570","99762"
"Goodnews Bay","570","99589"
"Grayling","570","99590"
"Gustavus","570","99826"
"Holy Cross","570","99602"
"Homer","570","99603"
"Hoonah","570","99829"
"Hooper Bay","570","99604"
"Houston","570","99694"
"Hughes","570","99745"
"Huslia","570","99746"
"Hydaburg","570","99922"
"Juneau","570","99801"
"Kachemak","570","99603"
"Kake","570","99830"
"Kaktovik","570","99747"
"Kaltag","570","99748"
"Kasaan","570","99919"
"Kenai","570","99611"
"Ketchikan","570","99901"
"Kiana","570","99749"
"King Cove","570","99612"
"Kivalina","570","99750"
"Klawock","570","99925"
"Kobuk","570","99751"
"Kodiak","570","99615"
"Kotlik","570","99620"
"Kotzebue","570","99752"
"Koyuk","570","99753"
"Koyukuk","570","99754"
"Kupreanof","570","99833"
"Kwethluk","570","99621"
"Larsen Bay","570","99624"
"Lower Kalskag","570","99626"
"Manokotak","570","99628"
"Marshall","570","99585"
"McGrath","570","99627"
"Mekoryuk","570","99630"
"Mountain Village","570","99632"
"Napakiak","570","99634"
"Napaskiak","570","99559"
"Nenana","570","99760"
"Newhalen","570","99606"
"New Stuyahok","570","99636"
"Nightmute","570","99690"
"Nikolai","570","99691"
"Nome","570","99762"
"Nondalton","570","99640"
"Noorvik","570","99763"
"North Pole","570","99705"
"Nuiqsut","570","99789"
"Nulato","570","99765"
"Nunam Iqua","570","99666"
"Nunapitchuk","570","99641"
"Old Harbor","570","99643"
"Ouzinkie","570","99644"
"Palmer","570","99645"
"Pelican","570","99832"
"Petersburg","570","99833"
"Pilot Point","570","99649"
"Pilot Station","570","99650"
"Platinum","570","99651"
"Point Hope","570","99766"
"Port Alexander","570","99836"
"Port Heiden","570","99549"
"Port Lions","570","99550"
"Quinhagak","570","99655"
"Ruby","570","99768"
"Russian Mission","570","99657"
"Sand Point","570","99661"
"Savoonga","570","99769"
"Saxman","570","99901"
"Scammon Bay","570","99662"
"Selawik","570","99770"
"Seldovia","570","99663"
"Seward","570","99664"
"Shageluk","570","99665"
"Shaktoolik","570","99771"
"Shishmaref","570","99772"
"Shungnak","570","99773"
"Sitka","570","99835"
"Soldotna","570","99669"
"Stebbins","570","99671"
"St. George","570","99591"
"St. Mary's","570","99658"
"St. Michael","570","99659"
"St. Paul","570","99660"
"Tanana","570","99777"
"Teller","570","99778"
"Tenakee Springs","570","99841"
"Thorne Bay","570","99919"
"Togiak","570","99678"
"Toksook Bay","570","99637"
"Unalakleet","570","99684"
"Unalaska","570","99685"
"Upper Kalskag","570","99607"
"Valdez","570","99686"
"Wainwright","570","99782"
"Wales","570","99783"
"Wasilla","570","99654"
"White Mountain","570","99784"
"Whittier","570","99693"
"Wrangell","570","99929"
"Abbeville","569","36310"
"Adamsville","569","35005"
"Addison","569","35540"
"Akron","569","35441"
"Alabaster","569","35007"
"Albertville","569","35950"
"Alexander City","569","35010"
"Aliceville","569","35442"
"Allgood","569","35121"
"Altoona","569","35952"
"Andalusia","569","36420"
"Anderson","569","35610"
"Anniston","569","36201"
"Arab","569","35016"
"Ardmore","569","35739"
"Argo","569","35120"
"Ariton","569","36311"
"Arley","569","35541"
"Ashford","569","36312"
"Ashland","569","36251"
"Ashville","569","35953"
"Athens","569","35611"
"Atmore","569","36502"
"Attalla","569","35954"
"Auburn","569","36830"
"Autaugaville","569","36003"
"Avon","569","36312"
"Babbie","569","36467"
"Baileyton","569","35019"
"Bakerhill","569","36027"
"Banks","569","36081"
"Bay Minette","569","36507"
"Bayou La Batre","569","36509"
"Bear Creek","569","35543"
"Beatrice","569","36425"
"Beaverton","569","35544"
"Belk","569","35545"
"Benton","569","36785"
"Berry","569","35570"
"Bessemer","569","35020"
"Billingsley","569","36006"
"Birmingham","569","35203"
"Black","569","36314"
"Blountsville","569","35031"
"Blue Springs","569","36017"
"Boaz","569","35957"
"Boligee","569","35443"
"Bon Air","569","35032"
"Brantley","569","36009"
"Brent","569","35034"
"Brewton","569","36426"
"Bridgeport","569","35740"
"Brighton","569","35020"
"Brilliant","569","35548"
"Brookside","569","35036"
"Brookwood","569","35444"
"Brundidge","569","36010"
"Butler","569","36904"
"Calera","569","35040"
"Camden","569","36726"
"Camp Hill","569","36850"
"Carbon Hill","569","35549"
"Cardiff","569","35073"
"Carolina","569","36420"
"Carrollton","569","35447"
"Castleberry","569","36432"
"Cedar Bluff","569","35959"
"Center Point","569","35215"
"Centre","569","35960"
"Centreville","569","35042"
"Chatom","569","36518"
"Chelsea","569","35043"
"Cherokee","569","35616"
"Chickasaw","569","36611"
"Childersburg","569","35044"
"Citronelle","569","36522"
"Clanton","569","35045"
"Clay","569","35126"
"Clayhatchee","569","36322"
"Clayton","569","36016"
"Cleveland","569","35049"
"Clio","569","36017"
"Coaling","569","35453"
"Coffee Springs","569","36318"
"Coffeeville","569","36524"
"Coker","569","35452"
"Collinsville","569","35961"
"Colony","569","35077"
"Columbia","569","36319"
"Columbiana","569","35051"
"Coosada","569","36020"
"Cordova","569","35550"
"Cottonwood","569","36320"
"County Line","569","35172"
"Courtland","569","35618"
"Cowarts","569","36321"
"Creola","569","36525"
"Crossville","569","35962"
"Cuba","569","36907"
"Cullman","569","35055"
"Cusseta","569","36852"
"Dadeville","569","36853"
"Daleville","569","36322"
"Daphne","569","36526"
"Dauphin Island","569","36528"
"Daviston","569","36256"
"Dayton","569","36738"
"Deatsville","569","36022"
"Decatur","569","35601"
"Demopolis","569","36732"
"Detroit","569","35552"
"Dodge City","569","35077"
"Dora","569","35062"
"Dothan","569","36301"
"Double Springs","569","35553"
"Douglas","569","35980"
"Dozier","569","36028"
"Dutton","569","35744"
"East Brewton","569","36426"
"Eclectic","569","36024"
"Edwardsville","569","36264"
"Elba","569","36323"
"Elberta","569","36530"
"Eldridge","569","35554"
"Elkmont","569","35620"
"Elmore","569","36025"
"Emelle","569","35459"
"Enterprise","569","36330"
"Epes","569","35700"
"Ethelsville","569","35701"
"Eufaula","569","36027"
"Eutaw","569","35702"
"Eva","569","35621"
"Evergreen","569","36401"
"Excel","569","36439"
"Fairfield","569","35064"
"Fairhope","569","36532"
"Fairview","569","35058"
"Falkville","569","35622"
"Faunsdale","569","36738"
"Fayette","569","35555"
"Five Points","569","36855"
"Flomaton","569","36441"
"Florala","569","36442"
"Florence","569","35630"
"Foley","569","36535"
"Forkland","569","36740"
"Fort Deposit","569","36032"
"Fort Payne","569","35967"
"Franklin","569","36083"
"Frisco City","569","36445"
"Fruithurst","569","36262"
"Fulton","569","36451"
"Fultondale","569","35068"
"Fyffe","569","35971"
"Gadsden","569","35901"
"Gainesville","569","35704"
"Gantt","569","36421"
"Garden City","569","35070"
"Gardendale","569","35071"
"Gaylesville","569","35973"
"Geiger","569","35459"
"Geneva","569","36340"
"Georgiana","569","36033"
"Geraldine","569","35974"
"Gilbertown","569","36908"
"Glen Allen","569","35594"
"Glencoe","569","35905"
"Glenwood","569","36034"
"Goldville","569","36256"
"Good Hope","569","35055"
"Goodwater","569","35072"
"Gordo","569","35706"
"Gordon","569","36343"
"Gordonville","569","36040"
"Goshen","569","36035"
"Grant","569","35747"
"Graysville","569","35073"
"Greensboro","569","36744"
"Greenville","569","36037"
"Grimes","569","36350"
"Grove Hill","569","36451"
"Guin","569","35563"
"Gulf Shores","569","36542"
"Guntersville","569","35976"
"Gurley","569","35748"
"Gu-Win","569","35563"
"Hackleburg","569","35564"
"Haleburg","569","36319"
"Haleyville","569","35565"
"Hamilton","569","35570"
"Hammondville","569","35989"
"Hanceville","569","35077"
"Harpersville","569","35078"
"Hartford","569","36344"
"Hartselle","569","35640"
"Hayden","569","35079"
"Hayneville","569","36040"
"Headland","569","36345"
"Heath","569","36421"
"Heflin","569","36264"
"Helena","569","35080"
"Henagar","569","35978"
"Highland Lake","569","35121"
"Hillsboro","569","35643"
"Hobson City","569","36201"
"Hodges","569","35571"
"Hokes Bluff","569","35903"
"Holly Pond","569","35083"
"Hollywood","569","35752"
"Homewood","569","35209"
"Hoover","569","35226"
"Horn Hill","569","36467"
"Hueytown","569","35023"
"Huntsville","569","35801"
"Hurtsboro","569","36860"
"Hytop","569","35768"
"Ider","569","35981"
"Indian Springs Village","569","35124"
"Irondale","569","35210"
"Jackson","569","36545"
"Jacksons' Gap","569","36861"
"Jacksonville","569","36265"
"Jasper","569","35501"
"Jemison","569","35085"
"Kansas","569","35549"
"Kellyton","569","35089"
"Kennedy","569","35574"
"Killen","569","35645"
"Kimberly","569","35091"
"Kinsey","569","36303"
"Kinston","569","36453"
"La Fayette","569","36862"
"Lakeview","569","35971"
"Lake View","569","35111"
"Lanett","569","36863"
"Langston","569","35755"
"Leeds","569","35094"
"Leesburg","569","35983"
"Leighton","569","35646"
"Lester","569","35647"
"Level Plains","569","36322"
"Lexington","569","35648"
"Libertyville","569","36420"
"Lincoln","569","35096"
"Linden","569","36748"
"Lineville","569","36266"
"Lipscomb","569","35020"
"Lisman","569","36912"
"Littleville","569","35654"
"Livingston","569","35470"
"Loachapoka","569","36865"
"Lockhart","569","36455"
"Locust Fork","569","35097"
"Louisville","569","36048"
"Lowndesboro","569","36752"
"Loxley","569","36551"
"Luverne","569","36049"
"Lynn","569","35575"
"Madison","569","35758"
"Madrid","569","36320"
"Magnolia Springs","569","36555"
"Malvern","569","36375"
"Maplesville","569","36750"
"Margaret","569","35112"
"Marion","569","36756"
"Maytown","569","35005"
"McIntosh","569","36553"
"McKenzie","569","36456"
"McMullen","569","35442"
"Memphis","569","35442"
"Mentone","569","35984"
"Midfield","569","35228"
"Midland City","569","36350"
"Midway","569","36053"
"Millbrook","569","36054"
"Millport","569","35576"
"Millry","569","36558"
"Mobile","569","36602"
"Monroeville","569","36460"
"Montevallo","569","35115"
"Montgomery","569","36104"
"Moody","569","35004"
"Mooresville","569","35649"
"Morris","569","35116"
"Mosses","569","36040"
"Moulton","569","35650"
"Moundville","569","35474"
"Mountain Brook","569","35213"
"Mount Vernon","569","36560"
"Mulga","569","35118"
"Munford","569","36268"
"Muscle Shoals","569","35661"
"Myrtlewood","569","36763"
"Napier Field","569","36303"
"Natural Bridge","569","35577"
"Nauvoo","569","35578"
"Nectar","569","35049"
"Needham","569","36915"
"Newbern","569","36765"
"New Brockton","569","36351"
"New Hope","569","35760"
"New Site","569","36256"
"Newton","569","36352"
"Newville","569","36353"
"North Courtland","569","35618"
"North Johns","569","35006"
"Northport","569","35476"
"Notasulga","569","36866"
"Oak Grove","569","35150"
"Oak Hill","569","36768"
"Oakman","569","35579"
"Odenville","569","35120"
"Ohatchee","569","36271"
"Oneonta","569","35121"
"Onycha","569","36467"
"Opelika","569","36801"
"Opp","569","36467"
"Orange Beach","569","36561"
"Orrville","569","36767"
"Owens Cross Roads","569","35763"
"Oxford","569","36203"
"Ozark","569","36360"
"Paint Rock","569","35764"
"Parrish","569","35580"
"Pelham","569","35124"
"Pell City","569","35125"
"Pennington","569","36916"
"Perdido Beach","569","36530"
"Petrey","569","36049"
"Phenix City","569","36867"
"Phil Campbell","569","35581"
"Pickensville","569","35447"
"Piedmont","569","36272"
"Pike Road","569","36064"
"Pinckard","569","36371"
"Pine Apple","569","36768"
"Pine Hill","569","36769"
"Pine Ridge","569","35968"
"Pinson","569","35126"
"Pisgah","569","35765"
"Pleasant Grove","569","35127"
"Pleasant Groves","569","35776"
"Pollard","569","36441"
"Powell","569","35971"
"Prattville","569","36067"
"Priceville","569","35603"
"Prichard","569","36610"
"Providence","569","36742"
"Ragland","569","35131"
"Rainbow City","569","35906"
"Rainsville","569","35986"